TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;
TMEM121;3,034106343;4,413441286;1,65291849;2,670090094;0,00758309;NA;
ANGPTL3;49,80676551;4,203487212;0,432307893;9,723364474;2,40E-22;2,10E-19;
CYP3A4;4,319105497;4,098511012;1,54439687;2,653793913;0,007959242;NA;
SCN2A;1,737182303;3,970520027;1,529189568;2,596486473;0,009418261;NA;
ELAVL3;2,314652114;3,756629259;1,570794848;2,391546716;0,016777549;NA;
C6orf223;5,139223362;3,67871315;1,248684921;2,946069972;0,003218396;0,029706198;
SERPINE3;1,888695231;3,628104459;1,55265464;2,336710538;0,01945424;NA;
C1QTNF8;2,784376673;3,621326336;1,552187738;2,333046607;0,019645699;NA;
SEC14L4;1,946944012;3,586372503;1,450517617;2,472477729;0,013418007;NA;
CROCC2;2,245164113;3,564034452;1,705808426;2,089352121;0,036676038;NA;
SLC51B;309,1116807;3,532288637;0,319624871;11,05135726;2,16E-28;5,29E-25;
PLA2G3;6,16296856;3,437959697;0,980308351;3,507018678;0,000453157;0,006742849;
C9orf57;1,371528327;3,41465027;1,728413818;1,975597646;0,048200365;NA;
ZNF423;1,236238425;3,393503813;1,658357965;2,046303563;0,040726513;NA;
CYP3A7;26,29881972;3,366924087;0,656652134;5,127409035;2,94E-07;1,56E-05;
KCNQ5;1,509952048;3,316232518;1,562513564;2,122370387;0,033806647;NA;
CARNS1;1,975775047;3,304189605;1,527368909;2,163321242;0,03051648;NA;
FUT7;1,884935501;3,300551625;1,576950924;2,092995777;0,036349532;NA;
KLHL30;1,901046505;3,293361353;1,515221052;2,17351874;0,029741297;NA;
RYR2;1,780860957;3,287861504;1,499870439;2,19209701;0,028372503;NA;
FADS6;1,655957721;3,231922237;1,513813983;2,134953352;0,032764821;NA;
RASL12;6,99116695;3,196184957;0,923825448;3,459728203;0,000540721;0,00762865;
CD14;10,10039593;3,182668364;0,654957867;4,859348249;1,18E-06;5,43E-05;
LCE1E;1,106662337;3,141482782;1,795220725;1,749914502;0,080133068;NA;
RASAL1;1,567970063;3,1081094;1,718172563;1,808962305;0,07045686;NA;
SBK3;12,09197503;2,984431648;0,634177867;4,705985185;2,53E-06;0,000102786;
NUTM1;1,236771338;2,978781725;1,714847002;1,737053931;0,082377652;NA;
WFIKKN2;2,254549739;2,968094313;1,324002575;2,241758717;0,024976971;NA;
P2RX6;1,405221844;2,870991929;1,717116769;1,671984096;0,094527458;NA;
UBE2Q2L;0,758591838;2,854224351;3,321601129;0,859291721;0,390179591;NA;
IL21R;6,163140214;2,819280711;0,726578406;3,880215386;0,000104364;0,002155213;
CORO2B;1,572023327;2,813349292;1,774426269;1,585497995;0,112853232;NA;
TUBB4A;3,635733447;2,793693743;1,221449216;2,287195985;0,022184386;NA;
BCKDHA;1,713746647;2,790748196;1,566940797;1,781016999;0,074909674;NA;
CEP295NL;1,748229488;2,781883424;1,628202197;1,708561399;0,087532224;NA;
MAG;2,549504502;2,711992155;1,235107065;2,195754711;0,028109505;NA;
FUT1;22,11549583;2,66197709;0,833481862;3,193803261;0,001404118;0,016039949;
HCAR2;6,555627234;2,593151839;0,80626248;3,216262574;0,001298719;0,015089297;
GRHL3;1,517840602;2,58557967;1,543862426;1,674747456;0,093983792;NA;
STAT4;1,666575619;2,582042956;1,849425584;1,396132387;0,162674633;NA;
IGFN1;8,628448104;2,537600686;1,335311346;1,900381281;0,057383102;0,22216676;
RENBP;2,801489766;2,506766904;1,288269209;1,94584089;0,051673855;NA;
GPR22;0,725722899;2,498720602;3,111815896;0,802978288;0,421987284;NA;
HTR2B;0,862646012;2,491743679;2,363718345;1,054162686;0,29180844;NA;
ABHD12B;5,209595607;2,470853821;0,894301086;2,762888094;0,005729241;0,045148185;
THSD1;1,335950772;2,454844209;1,777210607;1,381290546;0,167189644;NA;
SLCO1B3;115,0095578;2,447012129;0,260956937;9,377072556;6,78E-21;4,61E-18;
C2CD4D;1,225239646;2,431544916;2,048553586;1,18695695;0,235244602;NA;
ATP2B2;187,4563105;2,390574954;0,221245523;10,80507716;3,26E-27;6,65E-24;
MYH15;1,682098845;2,383516397;1,539781082;1,547957969;0,121632416;NA;
FGF21;1,426132615;2,376702392;1,542889979;1,540422469;0,123457408;NA;
SLCO1B1;1,296813591;2,352667623;1,834982141;1,282120175;0,199800493;NA;
APOC4-APOC2;3,462070564;2,352393318;1,042202847;2,257135763;0,023999593;NA;
DRICH1;2,958941646;2,288896123;1,295165062;1,767262097;0,077184344;NA;
RNASE13;3,951603907;2,288583762;0,991860736;2,307364007;0,021034536;NA;
F13B;13,86990423;2,281723202;0,649469586;3,513210243;0,000442727;0,006619823;
CYP24A1;946,2366331;2,255978748;0,329429747;6,848133089;7,48E-12;1,21E-09;
C22orf15;1,633121322;2,23829856;1,852451261;1,208290122;0,226935687;NA;
S1PR4;5,685086389;2,208009963;0,978242172;2,257119992;0,024000578;0,124723141;
CHD5;6,203522766;2,183616757;0,736150401;2,96626444;0,003014412;0,028527424;
TLE2;17,99468178;2,176773291;0,50951168;4,272273587;1,93E-05;0,000553434;
FASN;27371,78586;2,167814658;0,181638047;11,9348049;7,79E-33;3,82E-29;
CFAP58;1,977039045;2,150667907;1,554287886;1,383699845;0,166450381;NA;
