TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;
AADAC;7,736836365;1,587845218;0,642906728;2,46979095;0,013519203;0,119190901;
ABCA6;2,055451154;-2,831964339;1,314893819;-2,153758955;0,03125908;NA;
ABHD12B;5,209595607;1,804334545;0,911915097;1,978621202;0,047858671;0,25207625;
ACVR1C;16,45893838;-1,75863165;0,514247666;-3,419814551;0,000626638;0,014263594;
ADAMTS7;6,558354039;1,551635271;0,677190096;2,29128465;0,021946956;0,16190878;
ADHFE1;1,63445544;-1,567922176;1,515314253;-1,0347175;0,300800861;NA;
AFM;2,209301291;3,066953416;1,409796529;2,175458198;0,029595797;NA;
AGXT2;0,845779691;-4,387085726;2,138960916;-2,051035946;0,040263446;NA;
ALOX5AP;3,039918404;-2,475915125;1,135683635;-2,180109891;0,029249317;NA;
ALPI;1,299958708;-2,096661445;1,755752452;-1,194166889;0,232412692;NA;
AMH;4,039189923;-1,814728955;0,941203477;-1,928094189;0,053843412;NA;
AMHR2;2,882739499;1,987251957;1,113992503;1,783900656;0,074439809;NA;
APOBEC3D;2,170289896;-1,716509769;1,261381069;-1,360817767;0,173571286;NA;
APOBEC3G;2,178815645;-1,590967657;1,423185528;-1,117891959;0,26361314;NA;
APOC4-APOC2;3,462070564;1,643777794;1,071845653;1,533595616;0,125129168;NA;
AQP6;1,915717493;1,669837296;1,225926384;1,362102421;0,173165564;NA;
ARAP2;4,125240251;-1,680698309;0,906515483;-1,854020521;0,063736224;NA;
ARMH4;7,932423616;-2,065524642;0,739898234;-2,791633427;0,005244273;0,062593926;
ASIC4;1,311743026;2,401263755;2,219500455;1,081893788;0,279299725;NA;
ATP2B2;187,4563105;2,456214323;0,220501697;11,13920826;8,08E-29;9,90E-25;
ATP2C2;1,718958607;1,622240995;1,694997473;0,95707576;0,338529018;NA;
ATP6V1G2;2,086958268;-2,69331849;1,467926569;-1,834777398;0,066538679;NA;
B3GALT4;2,79877456;1,722165325;1,160524885;1,48395381;0,137821175;NA;
BACH2;3,3383113;-2,604299943;1,158230718;-2,248515691;0,024543326;NA;
BCKDHA;1,713746647;1,70721388;1,643236283;1,038933899;0,298835479;NA;
BCL2L15;1,843562523;1,927456956;1,258856566;1,531117212;0,125740427;NA;
BHLHE41;1,459034967;-3,249952795;1,574193872;-2,06451877;0,038968556;NA;
BMP8A;1,363037673;-1,851694131;1,822138196;-1,016220469;0,309524411;NA;
C11orf94;1,649100346;-1,691904187;1,316182434;-1,285463279;0,198630441;NA;
C1orf162;5,635101284;1,59188798;0,737625823;2,158123983;0,030918194;0,197405735;
C1QL4;1,788460745;-1,647602412;1,244710492;-1,323683236;0,185608268;NA;
C1QTNF8;2,784376673;3,980655362;1,524958798;2,610336336;0,009045324;NA;
C22orf15;1,633121322;3,038888842;1,801912928;1,686479293;0,09170352;NA;
C2CD4D;1,225239646;1,833924853;2,080205179;0,881607676;0,377989003;NA;
C3orf20;1,836862458;2,420303895;1,326511485;1,824563092;0,068066987;NA;
C6orf223;5,139223362;2,378497847;1,274300398;1,866512677;0,061969672;0,287781799;
C8B;26,60119126;1,714973428;0,624465143;2,746307697;0,006027021;0,06930225;
C9orf57;1,371528327;3,323740411;1,725732231;1,925988489;0,054105811;NA;
CA9;130,0462663;1,968909618;0,628700258;3,131714348;0,001737889;0,028916013;
CACHD1;1,290278974;-2,33664087;1,939981144;-1,204465764;0,228409607;NA;
CAGE1;1,689892723;-1,591734124;1,4697554;-1,082992534;0,278811737;NA;
CARNS1;1,975775047;2,513934355;1,561965169;1,609468895;0,107513851;NA;
CASP1;3,64375132;1,522723246;0,817456189;1,862758234;0,062496289;NA;
CASTOR1;1,433290404;-3,368813717;1,834607168;-1,836258888;0,066319377;NA;
CATIP;1,425483345;2,083373687;1,928978002;1,080040148;0,280124302;NA;
CBFA2T3;2,2666139;2,510602123;1,283260604;1,956424217;0,050415202;NA;
CCBE1;5,172710547;-4,246454124;1,151434991;-3,687966892;0,000226053;0,006920614;
CCDC113;2,148979986;-2,149307937;1,185556662;-1,812910345;0,06984565;NA;
CCDC169;3,166390319;1,763377913;1,125032703;1,567401471;0,11702088;NA;
CCDC81;2,247001799;1,899780571;1,216406689;1,561797208;0,11833577;NA;
CCNB3;1,522205505;1,724147477;1,382204461;1,247389605;0,212254676;NA;
CD226;1,591994192;-3,135697961;1,578338272;-1,986708436;0,046954716;NA;
CD274;2,353088843;-1,858359178;1,206868307;-1,539819355;0,123604393;NA;
CFAP58;1,977039045;1,641823124;1,592295522;1,031104529;0,302491804;NA;
CFAP70;7,02991673;-1,734522694;0,649359112;-2,671130138;0,007559633;0,080781211;
CHKB-CPT1B;2,087087881;-3,272387331;1,422487938;-2,300467542;0,021421746;NA;CPT1
CHSY3;4,163681397;-1,827078528;0,897424047;-2,035914388;0,041758953;NA;
CKLF;2,973502859;1,624542887;1,125005537;1,444031015;0,148730251;NA;
CLEC10A;1,09577361;-1,693300205;2,080985327;-0,813701175;0,415816161;NA;
CLEC4A;2,333414873;1,586915085;1,165158687;1,361973354;0,173206295;NA;
CNNM1;3,687906776;1,50401511;0,923822816;1,628034168;0,103517641;NA;
CORO2B;1,572023327;3,517033977;1,710376185;2,05629265;0,039754316;NA;
CROCC2;2,245164113;2,626543862;1,739677465;1,509787828;0,131097572;NA;
CSF3;1,361770743;2,418813283;1,677574002;1,441851913;0,149344154;NA;
CST7;1,31411469;2,400279952;1,901123408;1,262558728;0,206747808;NA;
CYB561;9,335206331;1,557125459;0,610926604;2,548793012;0,010809644;0,102062372;
CYP2C8;2,119792301;2,00033629;1,343175731;1,489258809;0,13641923;NA;
CYP3A4;4,319105497;1,502909029;1,628672356;0,92278169;0,356120985;NA;
CYP3A7;26,29881972;1,836463419;0,670631192;2,738410383;0,006173698;0,070393958;
DBNDD2;3,870750187;1,802776797;1,019918405;1,76756963;0,077132879;NA;
DERL3;1,097901131;-1,539848932;1,783057498;-0,863600267;0,387807517;NA;
DNAAF3;2,285504816;2,011648164;1,14513949;1,756683951;0,078971695;NA;
DOCK11;32,12260932;-1,618386214;0,459860413;-3,519298833;0,000432689;0,011156635;
DPEP2;2,268701526;2,278808316;1,299344016;1,753814454;0,079462306;NA;
DPYSL3;1,769719895;-4,193405798;1,693108148;-2,476750113;0,013258469;NA;
DRICH1;2,958941646;2,172800605;1,294078332;1,679033294;0,093145555;NA;
DSEL;3,504782802;-2,493307786;0,913495302;-2,729415008;0,00634468;NA;
DYNC2H1;5,033433723;-1,705311273;0,737126173;-2,313459126;0,02069741;0,156844355;
DYNLT2B;2,160902403;-2,109481196;1,593276758;-1,323989185;0,185506637;NA;
DYNLT4;1,80644165;-2,42909983;1,466868272;-1,655976802;0,097726517;NA;
EBF3;1,097332274;1,53688312;1,896972331;0,810176878;0,417838525;NA;
EFHB;1,666323239;1,830404463;1,239174623;1,477115839;0,139644588;NA;
EFHD1;5,932095589;-1,673344922;0,819184063;-2,042697116;0,04108243;0,230989643;
EGF;2,433147519;-2,476429799;1,233444097;-2,007735742;0,04467138;NA;
EHF;3,427883541;1,507320369;0,940992146;1,601841604;0,10919064;NA;
ELAVL3;2,314652114;2,685325711;1,610009008;1,667894836;0,095336605;NA;
ELOVL3;4,439105079;-1,534196073;0,823415594;-1,863209885;0,062432743;NA;
EMP1;1,857867391;1,658385864;1,255711524;1,320674241;0,186610007;NA;
ERICH6B;2,699521201;2,111761864;1,285832715;1,642330172;0,100521597;NA;
F13B;13,86990423;2,203326932;0,648494748;3,397601814;0,000679793;0,015108427;
FA2H;2,706291977;-1,807042631;1,193644291;-1,513887047;0,13005449;NA;
FADS6;1,655957721;1,640480448;1,621694026;1,011584442;0,311736788;NA;
FAM153A;1,304131172;-1,709352289;1,651708947;-1,034899213;0,300715982;NA;
FAM182B;2,03922542;-2,916277885;1,409378742;-2,069193893;0,038527896;NA;
FBLN7;5,358641028;1,509747014;0,85664668;1,762391718;0,078003137;0,329161411;
FETUB;15,98516333;1,551415658;0,492484066;3,150184473;0,001631674;0,027598729;
FGF18;2,219742539;-1,533365064;1,425297479;-1,075821074;0,282007286;NA;
FITM1;9,578620326;1,946529759;0,700532907;2,778641432;0,005458674;0,064461839;
FUT1;22,11549583;2,04796506;0,838903359;2,441240744;0,014636894;0,125520588;
FUT7;1,884935501;2,739997431;1,597267647;1,715427867;0,08626681;NA;
FYN;6,733329689;-2,580412299;0,691827657;-3,729848426;0,000191595;0,006190692;
GABBR1;2,607812138;-1,99962772;1,27846611;-1,564083478;0,117797965;NA;
GAS6;3,953050165;1,58271736;0,919504103;1,721272754;0,085201341;NA;
