TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
PRSS22;7,294199406;-1,593992824;0,799015812;-1,994945281;0,046048848;0,872103434
PRKAR2B;2,18165349;3,186276883;2,049862937;1,554385332;0,12009253;0,999961969
STAB1;1,369937308;1,785268592;1,701146273;1,049450374;0,293970884;0,999961969
ANK1;2,493177837;2,657828643;1,605118713;1,655845527;0,097753105;0,999961969
DAPK2;2,69057196;1,521102561;1,24261608;1,224113051;0,220909583;0,999961969
USH2A;2,613395053;-2,310568225;1,260732263;-1,8327192;0,06684434;0,960574073
CHRDL2;5,592410081;-1,648692143;0,894724458;-1,84268143;0,065375537;0,950783694
ATP2C2;1,718958607;3,13153578;1,591692603;1,967424976;0,049134237;0,884129723
RASGRP2;3,739435537;1,531567081;1,123076933;1,363724101;0,172654416;0,999961969
HES2;4,294068991;-2,034583774;1,099895418;-1,84979748;0,064342744;0,947560804
ASIC4;1,311743026;2,53096578;2,216734401;1,141754185;0,253556211;0,999961969
SMC1B;3,329518727;1,574350863;1,083685251;1,452775021;0,146286229;0,999961969
CST7;1,31411469;2,931482017;1,878306439;1,560704876;0,1185934;0,999961969
MAP2;5,791630985;2,796125914;0,810570097;3,449579407;0,000561461;0,067763187
SEMA5B;2,088797108;-2,352890367;1,541498514;-1,526365641;0,12691883;0,999961969
GSTP1;3,678187488;3,912385453;2,567307199;1,523925713;0,12752727;0,999961969
TMEM40;0,935913596;-2,540060207;2,438815586;-1,041513849;0,297637129;0,999961969
MYO15A;0,967751614;-2,933528004;1,933046043;-1,517567579;0,129123445;0,999961969
ANGPT2;1,703315358;-4,357920483;1,664005045;-2,618934658;0,008820484;0,401561011
DERL3;1,097901131;-3,282710793;1,872557809;-1,753062457;0,079591287;0,999961969
RSPH14;2,449511787;-2,442493121;1,406905182;-1,736075147;0,082550548;0,999961969
CABP7;1,969280913;1,634401367;1,268976852;1,287967834;0,197757161;0,999961969
SLC8A3;1,215364378;-2,336568203;1,692809876;-1,380289799;0,167497435;0,999961969
R3HDML;1,368352528;-1,732237425;1,506125606;-1,150128129;0,250091102;0,999961969
SPEF1;1,783457052;1,920721544;1,367170065;1,404888531;0,160054428;0,999961969
SNPH;1,215394634;4,375019874;2,458058485;1,779868095;0,07509755;0,987123838
SRPX;4,015559304;-2,138504674;0,992309406;-2,155078508;0,031155691;0,738370397
RENBP;2,801489766;1,915251905;1,318636571;1,452448649;0,146376898;0,999961969
PHEX;2,498582548;-1,547505563;1,188383212;-1,302194063;0,192850054;0,999961969
KLHL4;4,096543433;1,541747884;1,538451894;1,002142407;0,316274819;0,999961969
ZNF423;1,236238425;2,669193766;1,718135148;1,553541215;0,120293891;0,999961969
CORO2B;1,572023327;2,97315339;1,75478314;1,694313857;0,090205659;0,999961969
RASL12;6,99116695;2,883303916;0,929509648;3,101962333;0,001922424;0,170698978
LHB;2,232091902;2,049919674;1,30687431;1,568566816;0,11674891;0,999961969
TUBB4A;3,635733447;3,069933073;1,209593211;2,537988016;0,01114918;0,469893704
PEX11G;1,682723795;-1,503835261;1,213439;-1,239316736;0,215228223;0,999961969
FGF21;1,426132615;3,080811301;1,495517154;2,060030735;0,039395603;0,810877552
ATP4A;1,503952508;1,609747802;1,563531975;1,029558607;0,303217255;0,999961969
CUBN;0,967408786;1,569171338;1,83047862;0,857246471;0,391308685;0,999961969
EBF3;1,097332274;2,270361541;1,840909329;1,233282653;0,217470327;0,999961969
CSF3;1,361770743;2,354454754;1,687370653;1,3953394;0,162913516;0,999961969
P2RX1;2,185418587;2,417673323;1,405464439;1,720195301;0,085396947;0,999961969
SELPLG;2,027784846;2,325437128;1,355848997;1,715115129;0,086324121;0,999961969
RASAL1;1,567970063;1,778726008;1,881959602;0,94514569;0,344584502;0,999961969
RIPOR2;5,798343971;-2,060924368;0,977045433;-2,109343434;0,034914948;0,772551423
SLC26A8;1,872368451;-3,084708199;1,605112924;-1,921801359;0,054630757;0,893199425
AGXT2;0,845779691;-2,452055525;2,057897408;-1,191534386;0,233443866;0,999961969
KNG1;147,779649;3,794735622;0,335397174;11,31415504;1,12E-29;4,94E-26
CLDN16;1,756498661;-3,991576069;1,473264017;-2,709341994;0,006741681;0,344240593
