TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ABHD12B;5,209595607;1,858434654;0,912692742;2,036210621;0,04172921;NA
ACMSD;3,432611638;-1,534313281;1,226121862;-1,25135464;0,210805119;NA
ACSBG2;4,517715211;1,532824783;1,018941787;1,504330083;0,132496397;NA
ADPRH;1,670256349;-3,168329511;1,660832166;-1,907675908;0,056433117;NA
AEBP1;2,840176979;1,842860084;1,102343178;1,671766216;0,094570431;NA
AFM;2,209301291;2,063621191;1,451651762;1,421567655;0,1551518;NA
AGXT2;0,845779691;-4,308038542;2,138960916;-2,014080065;0,044001128;NA
ALDH1L1;2,703628464;-3,177377299;1,438404666;-2,208959254;0,027177475;NA
ALOX5AP;3,039918404;-2,071965837;1,089541299;-1,901686368;0,057212169;NA
ANKK1;0,922422686;1,808298756;2,538567496;0,712330383;0,476260214;NA
ANKRD31;2,047118229;-2,344107388;1,586185653;-1,477826624;0,13945419;NA
APOBEC3G;2,178815645;-2,596626185;1,602749553;-1,620107259;0,105209238;NA
APOC4-APOC2;3,462070564;1,75363016;1,070211815;1,638582322;0,101300277;NA
APOL4;1,504609713;-2,343504893;1,640060203;-1,428913944;0,153028969;NA
ARAP2;4,125240251;-2,291130841;1,010605242;-2,267087826;0,023384861;NA
ARL10;2,54358215;1,789768693;1,060925705;1,686987774;0,091605703;NA
ARL4C;2,935518409;-2,009927223;1,190363496;-1,688498707;0,091315537;NA
ARMH1;2,511155118;1,727413441;1,115430621;1,548651623;0,121465489;NA
ARMH4;7,932423616;-2,610901082;0,793391886;-3,290808903;0,000998998;0,018861388
ART5;1,250111643;-1,571346205;1,801878501;-0,872060022;0,383175634;NA
ASIC4;1,311743026;1,770332433;2,263581258;0,782093608;0,434159563;NA
ATP10D;27,81784121;-1,922158641;0,354314107;-5,425013018;5,80E-08;9,79E-06
ATP2A3;2,288326978;-1,713497745;1,263014071;-1,35667352;0,17488497;NA
ATP2B2;187,4563105;2,29426587;0,221387689;10,36311403;3,65E-25;4,37E-21
ATP2C2;1,718958607;2,925028647;1,601026674;1,82697059;0,067704192;NA
ATP4A;1,503952508;1,661833236;1,559504928;1,065615893;0,286597312;NA
B3GNT4;5,435206904;-1,698531786;0,762500341;-2,227581673;0,025908424;NA
B4GALT6;10,45793673;-1,817240308;0,565607623;-3,21289925;0,001314024;0,023430347
BACH2;3,3383113;-1,706650308;1,054159444;-1,618967907;0,105454169;NA
BCKDHA;1,713746647;2,094772623;1,61326844;1,298465011;0,194127592;NA
BHLHE41;1,459034967;-2,277061866;1,460280844;-1,559331464;0,118917948;NA
BMP8A;1,363037673;-1,737767827;1,81532176;-0,957278134;0,338426889;NA
BPIFB6;28,67226592;-1,909414657;0,342027027;-5,58264261;2,37E-08;4,73E-06
BRSK1;1,555635844;-1,677661557;1,512570846;-1,109145771;0,267367302;NA
C10orf55;1,510213223;-3,807199107;1,778356781;-2,140852245;0,032285955;NA
C11orf94;1,649100346;-3,167230581;1,569355301;-2,018173054;0,043573241;NA
C1QTNF8;2,784376673;4,966126141;1,492776773;3,326770774;0,000878586;NA
C22orf15;1,633121322;1,789799642;1,88465657;0,949668852;0,342280541;NA
C2CD4D;1,225239646;1,769739808;2,091091678;0,846323395;0,39737236;NA
C3orf20;1,836862458;2,021104693;1,350820783;1,496204914;0,134600264;NA
C6orf223;5,139223362;1,755495216;1,301911384;1,348398392;0,177530281;NA
C7orf25;3,521842297;-1,613282086;1,044066375;-1,545191115;0,122300043;NA
C8B;26,60119126;2,066316292;0,621857395;3,322813733;0,000891144;0,017344034
C9orf57;1,371528327;3,059322936;1,750346838;1,747838125;0,080492062;NA
CA9;130,0462663;1,883467381;0,628972475;2,994514795;0,002748817;0,039541634
CARNS1;1,975775047;2,342680998;1,579374731;1,483296492;0,137995654;NA
CATIP;1,425483345;2,053719967;1,936242356;1,060672989;0,288838539;NA
CCBE1;5,172710547;-2,848299591;0,846279563;-3,36567219;0,000763574;NA
CCDC141;1,889305668;-1,853776764;1,447411019;-1,280753524;0,200280253;NA
CCDC74A;1,801467933;-1,53977518;1,321531239;-1,165144746;0,243960407;NA
CCDC87;6,689392874;-1,563563654;0,835730999;-1,870893454;0,061359851;0,282135872
CCR4;5,559743244;-1,623635503;0,664316879;-2,444067815;0,014522696;NA
CD22;107,7536443;1,763389086;0,268634067;6,564279456;5,23E-11;2,09E-08
CD274;2,353088843;-2,131738076;1,252632041;-1,701807081;0,088791539;NA
CD3D;1,739488969;-2,004038496;1,587892305;-1,262074568;0,206921955;NA
CEP295NL;1,748229488;2,544795626;1,638892005;1,552753701;0,120481988;NA
CFAP58;1,977039045;3,351106853;1,474922454;2,272056299;0,02308311;NA
CHRNA2;1,315138408;-3,564676049;1,677144994;-2,125442976;0,033549667;NA
CHSY3;4,163681397;-1,508600531;0,871313216;-1,731410132;0,083378641;NA
CLEC10A;1,09577361;-2,84421402;2,210844271;-1,286483204;0,198274477;NA
CMPK2;2,586756951;-1,697293574;1,274298612;-1,331943359;0,182878802;NA
CNN1;1,729496922;-1,921049715;1,414452797;-1,358157529;0,174413704;NA
CORO2B;1,572023327;3,721689022;1,702909912;2,185487908;0,028853092;NA
CROCC2;2,245164113;2,082429917;1,780630933;1,169489914;0,242206303;NA
CYB561;9,335206331;1,76487457;0,606681144;2,909064484;0,003625121;0,047321544
CYP24A1;946,2366331;1,71824736;0,329674135;5,211956838;1,87E-07;2,47E-05
CYP2C8;2,119792301;1,668972051;1,370067996;1,218167314;0,223160398;NA
CYP3A4;4,319105497;3,050389955;1,563098056;1,951502622;0,050997285;NA
CYP3A5;85,14383718;1,753568746;0,467265867;3,752828675;0,00017485;0,005388897
CYP3A7;26,29881972;2,621060959;0,661824781;3,960354818;7,48E-05;0,002919077
CYTH4;1,909621658;2,693802447;1,42295307;1,893107021;0,058343639;NA
DBNDD2;3,870750187;1,885736524;1,019533897;1,849606502;0,064370285;NA
DNAAF1;1,406308805;1,708412904;1,523464314;1,121400015;0,26211763;NA
