source	target	weight	class	reporter_FC
SP1	CEBPB	1	repressor	0.47719819472002156
RARA	FOXA1	1	repressor	0.6058034970304781
NRF1	FOXA1	1	repressor	0.42326931640827703
CEBPB	FOXA1	1	repressor	0.6554781742054303
RXRA	FOXA1	1	repressor	0.9215735394962704
FOS::JUN	GATA4	1	repressor	0.47737963391807925
IRX3	GATA4	2	activator	0.5722942632345278
NFE2L2	GATA4	2	activator	0.5462841833896298
HNF1A	GATA4	2	activator	0.5392009484362511
PAX6	GATA4	2	activator	0.8408774831328377
SP1	GATA4	1	repressor	0.4219881715928858
RXRA	GRHL1	2	activator	0.4770816306839648
THRB	GRHL1	2	activator	0.6711284858509349
STAT1::STAT2	GRHL1	2	activator	0.5880380761813027
MTF1	GRHL1	2	activator	0.41108117142180645
FOXA1	GRHL1	2	activator	0.6809512483052516
MTF1	HNF4A	1	repressor	0.49253323207107247
SP1	HNF4A	1	repressor	0.5169844104745673
MTF1	IRF3	1	repressor	0.4190411060775597
NFE2L2	IRX3	2	activator	0.8359420103585707
SRF	IRX3	1	repressor	0.4247507070075662
THRB	IRX3	2	activator	0.40981926197476604
CEBPB	KLF4	1	repressor	0.469682214668941
RARA	KLF4	1	repressor	0.5553226726687825
THRB	MAF::NFE2	2	activator	0.6322289904344812
CEBPB	MAF::NFE2	1	repressor	0.4672800179141314
STAT1::STAT2	MAF::NFE2	2	activator	0.5120033911975649
NFYA	MAF::NFE2	2	activator	0.9011056270205772
PAX6	MAF::NFE2	2	activator	0.6495575269818783
NFE2L2	MAF::NFE2	2	activator	1.6198978831140187
STAT1::STAT2	MEF2A	2	activator	0.5999683219818311
HNF1A	MEF2A	1	repressor	0.7585810401321865
STAT3	MEF2A	1	repressor	0.7331288179062659
NFE2L2	MEF2A	1	repressor	0.9587125787320108
NFKB1	MEF2A	1	repressor	0.8303573760225007
CEBPB	MEF2A	1	repressor	0.6999562499757553
TFCP2L1	MEF2A	1	repressor	0.4484980454500209
GRHL1	MEF2A	1	repressor	0.5378850232651373
REL	MEF2A	1	repressor	1.1990495993931494
RXRA	MEF2A	2	activator	0.6865654192258348
SP1	MEF2A	1	repressor	1.4565995990078708
FOS::JUN	MEF2A	1	repressor	1.0314616930169667
XBP1	MEF2A	1	repressor	0.6573616476184947
GATA4	MEF2A	1	repressor	0.419463682084823
HNF4A	MEF2A	1	repressor	0.6232873379081898
RARA	MEF2A	1	repressor	0.8080052977670507
ELK1	MEF2A	1	repressor	0.6129778433302904
MTF1	MEF2A	1	repressor	0.9622261314853592
FOXA1	MEF2A	1	repressor	0.45300830747577503
NFYA	MEF2A	2	activator	0.628840756279965
NRF1	MEF2A	1	repressor	0.7589763163950055
IRX3	MEF2A	2	activator	0.6208857687251668
PAX6	MTF1	2	activator	0.40839762135921903
HNF1A	MTF1	2	activator	0.41756354052182226
