target	sum_receiver	class
CEBPB	2	repressor
ELK1	0	activator
FOS::JUN	0	activator
FOXA1	4	repressor
GATA4	2	activator
GRHL1	5	activator
HNF1A	0	activator
HNF4A	2	repressor
IRF3	1	repressor
IRX3	1	activator
KLF4	2	repressor
MAF::NFE2	5	activator
MEF2A	13	repressor
MTF1	3	activator
NFE2L2	1	activator
NFKB1	0	activator
NFYA	0	activator
NRF1	0	activator
PAX6	0	activator
RARA	6	repressor
REL	0	activator
RXRA	7	repressor
SP1	0	activator
SRF	2	repressor
STAT1::STAT2	2	repressor
STAT3	6	activator
TCF3	2	activator
TCF7	10	activator
TFCP2L1	3	activator
THRA	2	repressor
THRB	1	repressor
XBP1	1	activator
